player_id,player_name,season,age,role,position,war,wrc_plus,ops_plus,obp,slg,iso,hr,bb_pct,k_pct,baserunning_runs,defensive_runs,avg_ev,barrel_pct,hard_hit_pct,launch_angle,bat_speed,chase_pct,whiff_pct,sprint_speed,era,era_plus,fip,xfip,innings,avg_velocity,stuff_plus,location_plus,pitching_plus,hard_hit_pct_allowed,gb_pct,hr9
10003,Demo Hitter 003,2019,20,Hitter,SS,2.99,123.2,135.8,0.337,0.446,0.197,18.0,9.9,16.2,-0.5,-1.1,88.8,9.8,38.8,15.0,71.5,27.2,23.2,26.1,,,,,,,,,,,,
10003,Demo Hitter 003,2020,21,Hitter,SS,3.1,131.2,116.5,0.371,0.447,0.187,27.0,6.2,19.7,0.8,-1.3,89.6,9.4,40.3,12.8,71.8,25.2,24.7,27.4,,,,,,,,,,,,
10003,Demo Hitter 003,2021,22,Hitter,SS,2.84,126.0,129.3,0.361,0.48,0.179,22.0,8.8,22.3,-0.4,1.6,91.1,10.4,42.7,14.3,70.2,28.2,23.2,26.3,,,,,,,,,,,,
10003,Demo Hitter 003,2022,23,Hitter,SS,4.26,151.6,120.8,0.345,0.48,0.221,26.0,10.2,18.4,-1.3,2.9,90.3,10.7,43.3,12.8,70.4,25.8,24.7,28.2,,,,,,,,,,,,
10003,Demo Hitter 003,2023,24,Hitter,SS,1.8,141.6,112.8,0.345,0.395,0.191,21.0,8.8,21.3,-0.6,3.7,87.3,8.0,36.9,6.5,71.0,29.4,23.3,25.2,,,,,,,,,,,,
10003,Demo Hitter 003,2024,25,Hitter,SS,3.19,133.6,131.8,0.348,0.43,0.223,30.0,11.5,22.2,3.3,3.7,91.2,11.1,42.6,15.5,70.5,27.8,24.4,26.2,,,,,,,,,,,,
10003,Demo Hitter 003,2025,26,Hitter,SS,1.89,115.5,113.0,0.347,0.384,0.164,29.0,4.8,21.3,-1.6,-8.6,88.5,6.9,27.9,10.5,68.9,32.7,24.7,25.5,,,,,,,,,,,,
10003,Demo Hitter 003,2026,27,Hitter,SS,3.66,157.4,126.2,0.336,0.468,0.212,29.0,7.7,20.6,-3.0,-4.0,91.3,9.6,45.5,11.6,72.0,28.5,25.3,27.9,,,,,,,,,,,,
10004,Demo Hitter 004,2011,20,Hitter,3B,5.14,165.4,147.6,0.365,0.505,0.243,43.0,14.9,29.2,4.6,8.4,91.0,11.5,47.0,11.9,71.1,26.2,23.7,27.1,,,,,,,,,,,,
10004,Demo Hitter 004,2012,21,Hitter,3B,5.19,162.7,155.4,0.386,0.502,0.24,42.0,13.4,14.4,0.4,7.8,91.9,15.8,41.0,14.9,69.6,29.1,18.8,28.9,,,,,,,,,,,,
10004,Demo Hitter 004,2013,22,Hitter,3B,4.23,148.0,144.8,0.358,0.446,0.236,28.0,15.4,19.1,0.6,-1.5,93.0,15.0,47.2,17.3,70.9,24.9,27.1,25.9,,,,,,,,,,,,
10004,Demo Hitter 004,2014,23,Hitter,3B,4.54,136.3,142.6,0.367,0.489,0.197,36.0,11.5,11.9,-2.7,-1.6,89.9,12.7,49.7,12.7,72.1,31.5,27.7,26.6,,,,,,,,,,,,
10004,Demo Hitter 004,2015,24,Hitter,3B,5.83,148.5,170.9,0.381,0.497,0.24,38.0,14.6,20.8,0.8,-1.9,91.8,11.8,47.0,9.6,72.4,27.7,20.9,24.7,,,,,,,,,,,,
10004,Demo Hitter 004,2016,25,Hitter,3B,5.53,160.6,158.6,0.359,0.505,0.238,43.0,9.7,21.0,-0.3,3.4,90.4,10.4,51.3,11.3,73.4,28.6,16.8,26.3,,,,,,,,,,,,
10004,Demo Hitter 004,2017,26,Hitter,3B,4.74,156.9,151.9,0.374,0.488,0.257,33.0,11.1,17.7,-2.9,-0.2,91.2,13.2,54.5,14.2,72.9,23.3,21.9,27.0,,,,,,,,,,,,
10004,Demo Hitter 004,2018,27,Hitter,3B,5.25,155.9,155.2,0.352,0.533,0.26,29.0,9.0,16.7,0.3,-4.5,91.4,14.8,50.9,17.3,70.4,20.7,23.7,26.0,,,,,,,,,,,,
10004,Demo Hitter 004,2019,28,Hitter,3B,4.37,138.0,138.2,0.366,0.449,0.195,36.0,12.0,14.3,-4.8,1.3,91.6,16.0,47.1,15.1,71.6,27.3,21.3,28.3,,,,,,,,,,,,
10005,Demo Hitter 005,2018,25,Hitter,DH,3.62,138.5,143.7,0.355,0.423,0.229,25.0,12.6,19.0,-2.5,3.5,88.0,13.2,40.6,14.9,69.5,27.8,21.5,28.9,,,,,,,,,,,,
10005,Demo Hitter 005,2019,26,Hitter,DH,3.81,139.4,130.8,0.352,0.475,0.235,32.0,7.7,25.5,0.1,5.3,89.5,12.7,42.9,11.6,71.6,25.2,24.6,27.4,,,,,,,,,,,,
10005,Demo Hitter 005,2020,27,Hitter,DH,4.85,164.1,156.3,0.37,0.522,0.235,38.0,11.2,13.8,-1.8,-4.8,90.2,12.5,46.5,15.1,70.9,25.8,24.7,27.8,,,,,,,,,,,,
10005,Demo Hitter 005,2021,28,Hitter,DH,5.19,155.0,169.8,0.357,0.467,0.232,28.0,12.8,18.5,-3.8,0.7,92.6,12.0,45.3,9.8,71.7,22.7,21.5,25.6,,,,,,,,,,,,
10005,Demo Hitter 005,2022,29,Hitter,DH,4.38,157.7,149.3,0.362,0.512,0.235,28.0,11.6,21.3,-0.8,2.6,89.2,12.8,47.1,13.5,71.7,28.2,20.3,26.2,,,,,,,,,,,,
10005,Demo Hitter 005,2023,30,Hitter,DH,4.4,156.9,150.4,0.358,0.497,0.212,32.0,9.9,16.0,0.7,-1.7,90.2,10.5,51.0,14.8,71.0,29.3,23.0,26.0,,,,,,,,,,,,
10005,Demo Hitter 005,2024,31,Hitter,DH,3.33,145.0,130.7,0.354,0.448,0.214,29.0,11.0,21.9,2.5,3.8,88.8,14.0,40.5,10.7,71.7,30.8,25.1,25.6,,,,,,,,,,,,
10005,Demo Hitter 005,2025,32,Hitter,DH,3.31,144.9,135.1,0.352,0.424,0.205,28.0,8.3,15.2,0.5,3.9,87.7,10.0,47.6,19.3,71.8,21.7,24.2,28.2,,,,,,,,,,,,
10005,Demo Hitter 005,2026,33,Hitter,DH,5.0,164.2,156.1,0.361,0.465,0.22,29.0,10.5,21.3,0.3,-9.9,90.5,15.4,49.8,19.1,70.9,28.2,21.5,25.6,,,,,,,,,,,,
10006,Demo Hitter 006,2008,27,Hitter,2B,2.29,123.5,119.4,0.357,0.431,0.198,17.0,7.2,20.4,-1.4,-1.5,88.9,12.5,36.1,8.0,71.9,32.8,29.6,25.6,,,,,,,,,,,,
10006,Demo Hitter 006,2009,28,Hitter,2B,2.45,110.9,124.0,0.323,0.43,0.16,30.0,11.2,23.0,-2.3,8.3,90.5,8.9,44.5,15.0,72.2,31.5,26.6,27.0,,,,,,,,,,,,
10006,Demo Hitter 006,2010,29,Hitter,2B,1.23,104.4,115.9,0.321,0.426,0.131,16.0,7.8,27.3,-0.7,-3.0,88.2,10.1,47.3,7.7,73.2,24.2,29.2,28.9,,,,,,,,,,,,
10006,Demo Hitter 006,2011,30,Hitter,2B,2.56,108.0,118.1,0.367,0.458,0.212,24.0,10.1,22.5,-1.5,4.9,92.5,7.5,36.6,9.2,70.1,29.4,25.7,27.7,,,,,,,,,,,,
10006,Demo Hitter 006,2012,31,Hitter,2B,1.75,108.4,116.3,0.317,0.425,0.186,21.0,11.3,22.7,2.7,14.4,89.6,5.4,33.6,12.5,72.1,28.5,26.6,26.4,,,,,,,,,,,,
10006,Demo Hitter 006,2013,32,Hitter,2B,1.18,110.7,127.6,0.341,0.382,0.164,27.0,8.7,29.8,0.7,1.3,87.5,7.3,36.4,15.5,72.4,29.2,27.0,25.4,,,,,,,,,,,,
10006,Demo Hitter 006,2014,33,Hitter,2B,1.18,118.7,111.4,0.316,0.432,0.187,24.0,9.5,28.3,-0.6,3.0,85.7,7.7,37.4,21.7,72.6,33.8,22.4,26.7,,,,,,,,,,,,
10007,Demo Hitter 007,2010,27,Hitter,DH,4.24,146.3,135.4,0.386,0.495,0.221,24.0,12.5,19.0,-1.1,-3.2,92.3,8.2,40.5,16.2,72.7,29.1,22.1,27.6,,,,,,,,,,,,
10007,Demo Hitter 007,2011,28,Hitter,DH,3.22,129.7,130.6,0.34,0.472,0.203,23.0,7.9,26.1,-2.5,0.6,87.4,8.0,43.1,19.6,74.0,27.1,21.1,28.0,,,,,,,,,,,,
10007,Demo Hitter 007,2012,29,Hitter,DH,4.5,142.7,139.5,0.383,0.468,0.243,28.0,11.9,15.5,1.2,-5.2,88.8,11.3,50.3,14.4,72.3,29.8,21.0,28.5,,,,,,,,,,,,
10007,Demo Hitter 007,2013,30,Hitter,DH,2.53,146.2,129.3,0.344,0.388,0.191,24.0,10.9,18.2,4.3,-0.7,89.6,8.4,50.4,10.8,71.5,32.1,31.5,27.1,,,,,,,,,,,,
10007,Demo Hitter 007,2014,31,Hitter,DH,2.85,129.3,129.7,0.354,0.456,0.176,26.0,10.2,19.7,2.5,6.8,85.8,11.3,44.1,19.5,72.8,33.9,27.7,25.9,,,,,,,,,,,,
10007,Demo Hitter 007,2015,32,Hitter,DH,2.61,123.1,131.3,0.336,0.426,0.203,32.0,9.8,19.9,-1.8,-0.7,89.2,10.2,43.7,13.9,68.5,32.1,33.7,26.0,,,,,,,,,,,,
10007,Demo Hitter 007,2016,33,Hitter,DH,1.83,132.8,132.8,0.338,0.484,0.216,26.0,13.6,16.8,2.9,-5.5,87.4,8.2,37.2,12.9,74.4,30.7,23.5,26.3,,,,,,,,,,,,
10007,Demo Hitter 007,2017,34,Hitter,DH,2.3,110.1,139.5,0.327,0.489,0.159,18.0,8.0,23.2,2.0,-6.1,86.6,9.0,40.9,14.9,68.1,33.6,24.2,27.5,,,,,,,,,,,,
10007,Demo Hitter 007,2018,35,Hitter,DH,2.53,119.5,133.4,0.367,0.457,0.175,21.0,9.9,22.1,2.8,-4.0,88.7,10.3,40.8,12.4,69.9,27.6,24.2,28.5,,,,,,,,,,,,
10007,Demo Hitter 007,2019,36,Hitter,DH,1.88,133.9,125.1,0.339,0.442,0.183,19.0,7.9,26.2,-1.7,5.5,87.5,9.1,41.8,18.4,71.5,27.0,21.2,26.1,,,,,,,,,,,,
10007,Demo Hitter 007,2020,37,Hitter,DH,2.23,115.3,129.8,0.337,0.396,0.172,25.0,7.7,22.5,1.1,-11.3,85.5,7.3,33.1,14.5,70.9,26.9,25.0,27.5,,,,,,,,,,,,
10008,Demo Hitter 008,2013,23,Hitter,RF,4.49,147.2,155.2,0.34,0.458,0.237,29.0,13.6,22.0,-2.6,-6.8,92.0,13.0,46.8,8.4,72.7,23.0,24.0,27.7,,,,,,,,,,,,
10008,Demo Hitter 008,2014,24,Hitter,RF,3.04,127.3,156.9,0.349,0.459,0.178,29.0,10.3,21.9,3.1,3.0,93.4,9.2,38.7,16.8,70.3,31.3,20.3,27.1,,,,,,,,,,,,
10008,Demo Hitter 008,2015,25,Hitter,RF,5.0,156.0,153.7,0.395,0.515,0.227,33.0,14.6,24.0,3.8,0.7,90.1,13.8,40.3,7.3,71.4,26.9,24.2,24.0,,,,,,,,,,,,
10008,Demo Hitter 008,2016,26,Hitter,RF,4.85,152.5,155.2,0.39,0.511,0.271,31.0,9.5,19.3,-2.1,8.0,87.9,13.9,47.5,14.8,71.9,24.7,22.2,24.7,,,,,,,,,,,,
10008,Demo Hitter 008,2017,27,Hitter,RF,2.94,127.9,121.0,0.334,0.467,0.148,21.0,6.8,22.0,2.2,0.5,86.9,8.8,38.3,13.3,73.2,27.0,29.2,27.6,,,,,,,,,,,,
10008,Demo Hitter 008,2018,28,Hitter,RF,4.57,147.2,134.1,0.404,0.494,0.213,24.0,7.1,24.0,0.7,0.6,89.6,13.3,50.2,9.3,71.6,22.3,18.5,26.2,,,,,,,,,,,,
10008,Demo Hitter 008,2019,29,Hitter,RF,3.72,160.9,141.7,0.358,0.474,0.233,27.0,8.6,18.2,0.2,3.3,91.0,11.8,42.9,16.1,72.5,32.8,21.9,27.5,,,,,,,,,,,,
10008,Demo Hitter 008,2020,30,Hitter,RF,3.23,131.4,141.4,0.355,0.454,0.2,24.0,11.7,21.8,1.6,0.9,91.3,13.6,39.8,10.9,71.6,26.5,23.4,28.4,,,,,,,,,,,,
10008,Demo Hitter 008,2021,31,Hitter,RF,2.75,121.9,128.5,0.356,0.45,0.175,27.0,9.5,20.0,0.4,3.0,88.4,10.2,43.0,9.5,71.4,27.7,23.6,28.1,,,,,,,,,,,,
10008,Demo Hitter 008,2022,32,Hitter,RF,3.55,141.7,146.2,0.336,0.488,0.199,25.0,13.2,23.4,3.6,8.1,86.5,12.9,39.0,17.0,75.6,28.3,17.7,27.6,,,,,,,,,,,,
10008,Demo Hitter 008,2023,33,Hitter,RF,2.64,143.9,145.0,0.341,0.419,0.173,17.0,7.1,20.1,1.1,-5.5,88.9,15.7,33.6,15.8,71.7,28.3,26.0,26.5,,,,,,,,,,,,
10008,Demo Hitter 008,2024,34,Hitter,RF,1.78,122.0,117.2,0.342,0.402,0.155,29.0,8.9,24.1,-1.4,0.5,88.5,6.8,41.1,18.2,71.4,33.0,27.1,26.9,,,,,,,,,,,,
10009,Demo Hitter 009,2013,21,Hitter,RF,4.22,158.9,133.4,0.339,0.498,0.185,31.0,12.4,15.2,1.3,1.2,92.1,10.1,42.3,9.9,70.7,30.3,25.5,29.4,,,,,,,,,,,,
10009,Demo Hitter 009,2014,22,Hitter,RF,5.11,144.4,151.7,0.376,0.534,0.231,26.0,10.6,16.0,0.5,4.9,93.0,13.5,48.1,15.2,72.0,29.2,28.2,25.8,,,,,,,,,,,,
10009,Demo Hitter 009,2015,23,Hitter,RF,5.12,164.9,160.1,0.385,0.594,0.236,35.0,9.6,19.0,2.2,-2.3,89.9,11.8,40.9,23.1,73.3,23.5,22.3,27.6,,,,,,,,,,,,
10009,Demo Hitter 009,2016,24,Hitter,RF,4.21,143.6,145.6,0.343,0.485,0.204,25.0,11.8,17.1,-1.3,0.3,92.0,11.5,47.3,7.3,70.6,32.8,23.6,26.6,,,,,,,,,,,,
10009,Demo Hitter 009,2017,25,Hitter,RF,3.71,137.4,139.9,0.35,0.484,0.207,24.0,15.3,19.9,-0.0,2.1,89.9,16.1,44.8,16.7,72.3,33.1,28.4,27.1,,,,,,,,,,,,
10010,Demo Hitter 010,2016,25,Hitter,RF,1.82,130.1,120.1,0.321,0.486,0.195,16.0,6.0,18.9,2.7,-1.0,89.5,8.7,40.9,10.5,73.3,28.7,24.5,27.5,,,,,,,,,,,,
10010,Demo Hitter 010,2017,26,Hitter,RF,2.3,124.2,119.4,0.337,0.501,0.148,26.0,9.8,18.5,-2.9,-3.3,87.0,8.7,40.9,13.8,68.6,25.1,29.8,25.4,,,,,,,,,,,,
10010,Demo Hitter 010,2018,27,Hitter,RF,1.38,128.5,108.0,0.328,0.448,0.198,22.0,7.7,16.0,-1.4,1.6,87.6,7.3,39.6,10.6,68.5,28.8,25.4,27.8,,,,,,,,,,,,
10010,Demo Hitter 010,2019,28,Hitter,RF,1.66,118.6,108.5,0.324,0.412,0.158,19.0,11.4,21.0,-0.0,-9.4,88.8,10.9,38.6,14.8,71.6,33.2,24.5,26.9,,,,,,,,,,,,
10010,Demo Hitter 010,2020,29,Hitter,RF,2.31,121.2,120.0,0.333,0.446,0.181,30.0,9.1,19.6,3.4,5.5,91.7,10.9,35.6,19.8,72.6,26.3,23.3,25.2,,,,,,,,,,,,
10010,Demo Hitter 010,2021,30,Hitter,RF,1.61,108.0,119.9,0.296,0.452,0.205,21.0,6.4,19.5,1.7,-13.6,89.2,5.1,35.7,10.3,70.6,30.9,23.0,27.1,,,,,,,,,,,,
10010,Demo Hitter 010,2022,31,Hitter,RF,0.23,101.8,91.3,0.315,0.39,0.149,14.0,7.2,25.7,-2.0,-0.6,86.9,7.7,33.5,10.6,72.4,29.2,21.3,29.1,,,,,,,,,,,,
10010,Demo Hitter 010,2023,32,Hitter,RF,0.72,107.4,105.7,0.32,0.395,0.122,17.0,12.0,25.7,0.6,-2.3,85.8,5.2,32.2,7.9,72.5,30.4,23.2,26.8,,,,,,,,,,,,
10010,Demo Hitter 010,2024,33,Hitter,RF,1.77,125.6,126.7,0.322,0.394,0.18,22.0,10.5,18.2,-0.7,8.3,86.2,7.7,37.3,8.5,72.3,29.0,20.7,25.9,,,,,,,,,,,,
10010,Demo Hitter 010,2025,34,Hitter,RF,0.03,116.0,97.4,0.305,0.425,0.152,25.0,6.6,18.5,3.6,-2.4,87.1,5.8,31.6,16.1,68.9,32.4,25.2,27.8,,,,,,,,,,,,
10011,Demo Hitter 011,2009,23,Hitter,CF,5.39,176.6,153.1,0.383,0.521,0.239,31.0,12.1,15.3,4.0,8.7,90.2,12.3,42.7,18.4,72.9,23.5,21.3,28.4,,,,,,,,,,,,
10011,Demo Hitter 011,2010,24,Hitter,CF,3.89,153.6,121.6,0.36,0.488,0.223,31.0,9.7,19.6,-1.9,-6.6,92.5,9.9,41.5,0.8,73.0,27.2,21.6,26.7,,,,,,,,,,,,
10011,Demo Hitter 011,2011,25,Hitter,CF,3.52,132.0,129.5,0.357,0.492,0.231,28.0,12.6,23.9,3.4,5.1,87.7,11.2,44.6,19.4,71.1,29.8,24.3,25.0,,,,,,,,,,,,
10011,Demo Hitter 011,2012,26,Hitter,CF,3.46,128.8,151.7,0.357,0.498,0.217,31.0,12.5,19.2,-2.5,-3.9,91.5,11.1,39.6,8.0,70.9,29.5,23.7,26.3,,,,,,,,,,,,
10011,Demo Hitter 011,2013,27,Hitter,CF,3.19,131.3,144.4,0.384,0.468,0.235,27.0,7.9,20.0,-3.0,2.0,89.7,6.3,38.1,20.2,70.8,28.9,22.6,25.9,,,,,,,,,,,,
10012,Demo Hitter 012,2008,27,Hitter,DH,3.28,118.0,118.3,0.319,0.49,0.213,26.0,10.9,22.9,-6.3,-9.6,89.8,12.5,44.7,7.0,71.5,30.9,23.4,26.0,,,,,,,,,,,,
10012,Demo Hitter 012,2009,28,Hitter,DH,2.89,141.1,117.4,0.334,0.476,0.181,11.0,10.4,19.9,-4.0,-7.1,90.1,11.6,36.4,14.7,70.9,28.6,26.3,24.9,,,,,,,,,,,,
10012,Demo Hitter 012,2010,29,Hitter,DH,2.84,159.0,117.8,0.346,0.423,0.213,27.0,8.4,21.0,1.3,6.2,90.0,12.7,42.2,17.7,72.1,29.3,25.7,27.7,,,,,,,,,,,,
10012,Demo Hitter 012,2011,30,Hitter,DH,3.1,125.0,128.9,0.364,0.46,0.185,24.0,12.2,16.7,-4.0,-3.7,88.1,12.2,42.7,15.5,71.0,30.7,23.3,25.7,,,,,,,,,,,,
10012,Demo Hitter 012,2012,31,Hitter,DH,2.21,129.7,126.3,0.328,0.463,0.194,21.0,7.1,25.9,0.8,4.1,87.4,9.6,43.0,13.8,71.1,25.6,28.2,28.0,,,,,,,,,,,,
10012,Demo Hitter 012,2013,32,Hitter,DH,2.1,106.9,129.5,0.32,0.429,0.179,33.0,10.0,27.0,0.9,-3.8,90.5,13.1,37.5,11.2,72.8,35.2,23.5,26.2,,,,,,,,,,,,
10012,Demo Hitter 012,2014,33,Hitter,DH,2.18,121.3,116.5,0.344,0.435,0.175,26.0,6.3,26.4,4.2,3.1,88.0,7.2,36.1,15.2,70.5,31.7,24.2,27.5,,,,,,,,,,,,
10012,Demo Hitter 012,2015,34,Hitter,DH,2.92,135.2,121.1,0.341,0.402,0.202,14.0,8.9,18.7,-0.9,5.3,89.0,10.0,35.0,13.4,72.6,24.8,21.9,23.6,,,,,,,,,,,,
10012,Demo Hitter 012,2016,35,Hitter,DH,2.43,128.5,109.6,0.349,0.427,0.167,33.0,9.5,18.8,-4.9,3.1,88.4,6.4,39.6,8.9,71.9,31.7,23.8,27.6,,,,,,,,,,,,
10013,Demo Hitter 013,2014,20,Hitter,2B,3.49,149.3,131.6,0.346,0.473,0.216,25.0,9.9,20.9,-2.7,-8.6,89.7,11.1,40.3,10.2,71.3,27.7,22.3,26.7,,,,,,,,,,,,
10013,Demo Hitter 013,2015,21,Hitter,2B,4.22,138.0,123.8,0.346,0.484,0.167,24.0,7.0,18.0,0.9,1.7,91.2,14.8,44.0,15.9,73.6,23.5,26.0,28.0,,,,,,,,,,,,
10013,Demo Hitter 013,2016,22,Hitter,2B,4.34,155.7,148.7,0.36,0.493,0.24,34.0,8.5,22.2,2.5,4.0,90.3,13.0,42.0,12.6,72.4,30.1,19.9,25.9,,,,,,,,,,,,
10013,Demo Hitter 013,2017,23,Hitter,2B,4.21,152.9,144.1,0.375,0.501,0.208,23.0,8.3,17.5,3.2,0.1,91.3,9.2,41.4,9.4,70.8,27.5,22.4,25.8,,,,,,,,,,,,
10013,Demo Hitter 013,2018,24,Hitter,2B,4.01,143.0,129.3,0.376,0.466,0.205,31.0,12.5,20.6,0.4,3.6,89.4,10.3,42.2,10.4,70.3,32.7,26.4,27.0,,,,,,,,,,,,
10013,Demo Hitter 013,2019,25,Hitter,2B,5.34,144.8,149.6,0.39,0.527,0.236,28.0,14.1,15.2,-1.9,-0.2,91.2,13.9,48.8,14.6,76.5,28.1,22.3,24.3,,,,,,,,,,,,
10013,Demo Hitter 013,2020,26,Hitter,2B,5.28,153.5,159.6,0.37,0.53,0.264,44.0,11.5,15.3,0.1,-9.6,90.7,13.4,37.3,17.3,71.1,25.5,23.0,26.9,,,,,,,,,,,,
10013,Demo Hitter 013,2021,27,Hitter,2B,4.96,154.2,151.8,0.349,0.52,0.219,27.0,11.0,15.5,-7.9,8.4,89.7,12.7,54.8,8.3,72.2,28.2,25.6,25.3,,,,,,,,,,,,
10013,Demo Hitter 013,2022,28,Hitter,2B,3.72,150.2,138.3,0.333,0.433,0.23,35.0,10.2,19.7,-1.3,-13.2,92.0,11.3,48.4,10.4,71.4,27.8,23.2,26.5,,,,,,,,,,,,
10013,Demo Hitter 013,2023,29,Hitter,2B,5.44,171.8,163.4,0.362,0.507,0.223,48.0,11.0,19.3,-2.2,3.1,92.8,11.8,50.2,9.9,72.0,26.4,20.1,28.3,,,,,,,,,,,,
10013,Demo Hitter 013,2024,30,Hitter,2B,4.12,146.3,145.7,0.344,0.473,0.215,21.0,13.9,22.1,1.1,3.6,88.4,11.4,49.4,11.0,72.4,28.9,18.3,26.2,,,,,,,,,,,,
10013,Demo Hitter 013,2025,31,Hitter,2B,4.47,150.3,161.9,0.367,0.433,0.258,24.0,11.8,20.5,0.7,1.1,89.3,13.6,46.2,11.1,73.3,34.7,19.4,26.2,,,,,,,,,,,,
10014,Demo Hitter 014,2011,27,Hitter,LF,3.55,139.4,143.3,0.354,0.46,0.218,29.0,11.6,20.0,-3.5,3.7,89.3,10.4,46.5,14.4,71.1,35.4,28.7,26.4,,,,,,,,,,,,
10014,Demo Hitter 014,2012,28,Hitter,LF,2.97,142.5,133.1,0.345,0.463,0.196,29.0,10.1,23.9,2.8,-0.1,90.1,11.4,41.5,15.6,71.4,31.6,22.3,26.8,,,,,,,,,,,,
10014,Demo Hitter 014,2013,29,Hitter,LF,2.98,119.9,132.8,0.343,0.456,0.229,26.0,14.0,15.7,0.4,6.1,90.0,11.5,39.1,6.3,71.3,31.2,25.2,25.6,,,,,,,,,,,,
10014,Demo Hitter 014,2014,30,Hitter,LF,4.28,146.4,141.8,0.365,0.46,0.244,41.0,8.8,20.1,-3.0,1.6,91.4,15.5,41.2,11.1,73.2,27.3,24.5,29.3,,,,,,,,,,,,
10014,Demo Hitter 014,2015,31,Hitter,LF,4.05,133.5,154.5,0.336,0.499,0.221,32.0,11.0,21.4,-4.9,1.8,88.9,10.0,44.3,13.4,71.5,33.3,25.6,24.4,,,,,,,,,,,,
10015,Demo Hitter 015,2014,27,Hitter,LF,4.58,150.7,152.9,0.371,0.459,0.205,31.0,11.6,17.0,1.0,0.2,91.1,15.0,48.0,20.4,71.7,27.7,16.7,26.8,,,,,,,,,,,,
10015,Demo Hitter 015,2015,28,Hitter,LF,3.93,128.7,132.0,0.363,0.457,0.228,38.0,12.6,15.9,-0.4,1.3,89.5,11.2,43.1,5.4,73.0,30.4,27.7,24.7,,,,,,,,,,,,
10015,Demo Hitter 015,2016,29,Hitter,LF,3.52,147.6,135.7,0.336,0.431,0.232,21.0,8.5,25.4,-4.4,3.0,90.4,11.0,44.4,7.4,71.7,30.6,24.6,26.9,,,,,,,,,,,,
10015,Demo Hitter 015,2017,30,Hitter,LF,2.05,118.7,132.3,0.351,0.45,0.185,26.0,10.1,19.1,1.4,3.9,86.7,10.9,35.6,16.5,71.0,30.3,21.0,28.3,,,,,,,,,,,,
10015,Demo Hitter 015,2018,31,Hitter,LF,2.7,125.5,136.6,0.334,0.456,0.224,21.0,7.8,21.5,-1.3,-1.0,88.0,8.2,32.4,7.4,71.6,29.0,25.5,28.6,,,,,,,,,,,,
10015,Demo Hitter 015,2019,32,Hitter,LF,1.99,121.4,115.4,0.342,0.415,0.192,15.0,9.5,22.9,2.8,2.8,90.0,9.3,36.3,9.6,71.3,27.3,21.4,24.2,,,,,,,,,,,,
