contract_id,player_id,player_name,signing_year,signing_age,age,role,position,negotiation_type,years,aav_m,guarantee_m,team,source,source_url,service_years,il_days_last_3y,ped_suspensions,other_suspensions,war,wrc_plus,ops_plus,obp,slg,iso,bb_pct,k_pct,defensive_runs,baserunning_runs,avg_ev,barrel_pct,hard_hit_pct,chase_pct,whiff_pct,era,fip,xfip,innings,avg_velocity,stuff_plus,location_plus,overall_grade
DEMO-10010-2019-11,10010,Demo Hitter 010,2019,28.0,28.0,Hitter,RF,Free Agent,6,29.71,161.73,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,3.0,49,0,0,1.66,118.6,108.5,0.324,0.412,0.158,11.4,21.0,-9.4,-0.0,88.8,10.9,38.6,33.2,24.5,,,,,,,,55
DEMO-10010-2023-12,10010,Demo Hitter 010,2023,32.0,32.0,Hitter,RF,Free Agent,3,16.8,50.04,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,7.0,93,0,0,0.72,107.4,105.7,0.32,0.395,0.122,12.0,25.7,-2.3,0.6,85.8,5.2,32.2,30.4,23.2,,,,,,,,55
DEMO-10011-2011-13,10011,Demo Hitter 011,2011,25.0,25.0,Hitter,CF,Free Agent,9,37.14,275.14,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,2.0,23,0,0,3.52,132.0,129.5,0.357,0.492,0.231,12.6,23.9,5.1,3.4,87.7,11.2,44.6,29.8,24.3,,,,,,,,60
DEMO-10012-2015-14,10012,Demo Hitter 012,2015,34.0,34.0,Hitter,DH,Extension,4,28.68,103.3,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,7.0,69,0,0,2.92,135.2,121.1,0.341,0.402,0.202,8.9,18.7,5.3,-0.9,89.0,10.0,35.0,24.8,21.9,,,,,,,,55
DEMO-10013-2017-15,10013,Demo Hitter 013,2017,23.0,23.0,Hitter,2B,Extension,10,52.94,510.22,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,3.0,0,0,0,4.21,152.9,144.1,0.375,0.501,0.208,8.3,17.5,0.1,3.2,91.3,9.2,41.4,27.5,22.4,,,,,,,,55
DEMO-10014-2014-16,10014,Demo Hitter 014,2014,30.0,30.0,Hitter,LF,Free Agent,5,46.58,222.7,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,3.0,0,0,0,4.28,146.4,141.8,0.365,0.46,0.244,8.8,20.1,1.6,-3.0,91.4,15.5,41.2,27.3,24.5,,,,,,,,55
DEMO-10015-2023-17,10015,Demo Hitter 015,2023,36.0,36.0,Hitter,LF,Extension,2,14.36,27.39,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,9.0,0,0,0,0.82,101.8,125.4,0.31,0.412,0.212,7.5,18.6,-11.5,1.9,85.5,6.8,42.1,30.9,23.6,,,,,,,,60
DEMO-10016-2019-18,10016,Demo Hitter 016,2019,25.0,25.0,Hitter,RF,Extension,5,58.16,249.08,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,4.0,1,0,0,5.7,150.9,164.8,0.34,0.525,0.215,12.2,19.4,7.3,-1.3,88.3,13.9,50.6,26.5,23.9,,,,,,,,65
DEMO-10017-2019-19,10017,Demo Hitter 017,2019,31.0,31.0,Hitter,2B,Free Agent,4,47.89,192.26,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,4.0,0,0,0,4.26,138.7,138.2,0.362,0.51,0.184,10.9,23.2,4.2,-2.4,90.0,15.3,45.8,25.5,21.0,,,,,,,,60
DEMO-10017-2023-20,10017,Demo Hitter 017,2023,35.0,35.0,Hitter,2B,Extension,1,19.32,19.32,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,8.0,62,0,1,1.3,123.7,108.2,0.329,0.408,0.144,8.4,18.9,0.4,-1.1,89.3,7.9,37.9,31.8,22.7,,,,,,,,60
DEMO-10018-2022-21,10018,Demo Hitter 018,2022,23.0,23.0,Hitter,C,Free Agent,7,59.58,375.21,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,3.0,0,0,0,4.86,158.2,156.0,0.37,0.498,0.258,10.3,19.8,4.1,1.4,93.3,13.8,42.6,24.4,21.4,,,,,,,,70
DEMO-10018-2021-22,10018,Demo Hitter 018,2021,22.0,22.0,Hitter,C,Extension,9,60.68,498.69,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,2.0,0,0,0,5.37,157.0,154.1,0.371,0.515,0.26,11.3,21.5,4.9,2.5,92.1,12.5,51.1,26.7,21.7,,,,,,,,70
DEMO-10019-2024-23,10019,Demo Hitter 019,2024,24.0,24.0,Hitter,DH,Free Agent,10,64.26,610.96,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,3.0,35,0,0,5.04,167.5,161.4,0.348,0.548,0.211,10.2,12.9,2.0,-2.4,91.3,12.7,44.8,26.6,19.6,,,,,,,,50
DEMO-10020-2020-24,10020,Demo Hitter 020,2020,28.0,28.0,Hitter,LF,Extension,5,53.5,254.06,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,2.0,67,0,0,5.19,163.0,144.8,0.34,0.495,0.263,11.9,17.6,-4.6,-0.8,91.9,17.4,47.5,31.7,21.2,,,,,,,,65
DEMO-10021-2013-25,10021,Demo Hitter 021,2013,30.0,30.0,Hitter,DH,Free Agent,8,33.59,254.45,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,3.0,8,0,0,3.21,149.1,133.9,0.346,0.467,0.188,9.5,21.1,2.4,-0.7,91.8,10.0,45.0,29.4,20.1,,,,,,,,45
DEMO-10022-2022-26,10022,Demo Hitter 022,2022,25.0,25.0,Hitter,DH,Free Agent,8,48.18,342.18,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,4.0,44,0,0,3.16,123.8,129.8,0.385,0.452,0.187,8.3,21.0,4.4,3.2,85.1,8.7,38.3,26.9,21.2,,,,,,,,50
DEMO-10023-2024-27,10023,Demo Hitter 023,2024,27.0,27.0,Hitter,2B,Free Agent,5,32.45,145.2,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,5.0,59,0,0,1.67,112.1,114.9,0.323,0.418,0.187,8.1,22.4,-5.2,1.4,88.3,8.1,41.1,31.1,30.1,,,,,,,,55
DEMO-10023-2021-28,10023,Demo Hitter 023,2021,24.0,24.0,Hitter,2B,Free Agent,10,44.5,405.93,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,2.0,52,0,0,2.69,129.2,143.2,0.35,0.424,0.223,10.1,21.5,3.4,0.1,89.8,11.1,40.6,31.3,25.7,,,,,,,,55
DEMO-10024-2014-29,10024,Demo Hitter 024,2014,31.0,31.0,Hitter,SS,Arbitration,1,10.93,10.93,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,6.0,6,0,0,3.35,152.6,131.8,0.341,0.462,0.194,10.2,23.0,2.2,1.0,91.6,13.1,44.3,25.4,22.6,,,,,,,,45
DEMO-10024-2015-30,10024,Demo Hitter 024,2015,32.0,32.0,Hitter,SS,Free Agent,7,15.86,109.22,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,7.0,0,0,0,2.11,126.8,123.2,0.331,0.414,0.179,9.0,24.9,0.3,0.7,87.9,9.2,40.0,28.3,28.9,,,,,,,,45
DEMO-10025-2016-31,10025,Demo Hitter 025,2016,29.0,29.0,Hitter,3B,Free Agent,7,37.96,243.34,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,2.0,0,0,0,3.59,118.8,127.8,0.347,0.496,0.23,11.9,23.4,1.2,2.0,90.2,11.1,44.1,25.6,24.7,,,,,,,,60
DEMO-10026-2020-32,10026,Demo Hitter 026,2020,27.0,27.0,Hitter,LF,Arbitration,1,15.12,15.12,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,4.0,0,0,0,3.25,128.0,125.6,0.332,0.482,0.217,9.6,23.5,-1.0,-1.4,89.6,11.7,41.2,23.8,18.7,,,,,,,,50
DEMO-10027-2010-33,10027,Demo Hitter 027,2010,24.0,24.0,Hitter,DH,Arbitration,1,13.05,13.05,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,2.0,36,0,0,4.19,149.1,138.4,0.35,0.497,0.208,11.3,17.9,-1.0,0.8,90.9,8.7,43.4,28.3,20.0,,,,,,,,55
DEMO-10028-2021-34,10028,Demo Hitter 028,2021,28.0,28.0,Hitter,RF,Free Agent,5,51.85,240.21,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,8.0,25,0,0,4.18,162.8,147.5,0.362,0.481,0.229,11.5,17.5,2.9,-2.3,89.0,10.0,48.3,30.8,26.1,,,,,,,,50
DEMO-10028-2020-35,10028,Demo Hitter 028,2020,27.0,27.0,Hitter,RF,Extension,7,51.45,339.16,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,7.0,81,0,0,4.3,151.5,135.4,0.344,0.493,0.221,12.7,19.9,5.5,-1.5,91.3,14.2,43.9,27.8,22.9,,,,,,,,50
DEMO-10029-2017-36,10029,Demo Hitter 029,2017,28.0,28.0,Hitter,1B,Free Agent,5,41.52,218.51,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,6.0,41,0,0,4.18,146.4,131.8,0.337,0.508,0.224,11.9,21.7,1.0,2.9,92.7,15.5,43.9,30.8,23.2,,,,,,,,50
DEMO-10030-2019-37,10030,Demo Hitter 030,2019,31.0,31.0,Hitter,3B,Extension,5,45.87,216.04,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,8.0,39,0,0,3.94,129.8,140.0,0.362,0.484,0.257,12.0,18.5,-1.7,-0.8,88.3,11.1,48.9,26.6,28.6,,,,,,,,60
DEMO-10031-2016-38,10031,Demo Hitter 031,2016,26.0,26.0,Hitter,3B,Free Agent,8,56.73,407.02,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,2.0,0,0,0,5.45,158.6,143.0,0.356,0.462,0.252,13.2,21.1,0.3,2.2,91.6,11.0,53.3,25.1,24.2,,,,,,,,55
DEMO-10032-2019-39,10032,Demo Hitter 032,2019,24.0,24.0,Hitter,RF,Extension,10,47.46,464.69,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,3.0,0,0,0,4.98,172.6,154.3,0.363,0.498,0.226,14.9,23.6,-6.1,-1.6,89.9,12.5,52.1,27.9,19.5,,,,,,,,60
DEMO-10033-2016-40,10033,Demo Hitter 033,2016,24.0,24.0,Hitter,RF,Extension,9,43.77,380.56,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,2.0,0,0,0,4.43,149.9,149.8,0.399,0.48,0.25,9.2,18.5,-2.1,-1.3,90.7,10.4,43.1,31.2,23.0,,,,,,,,55
DEMO-10033-2017-41,10033,Demo Hitter 033,2017,25.0,25.0,Hitter,RF,Free Agent,8,35.11,272.43,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,3.0,100,0,0,3.6,136.1,138.8,0.33,0.458,0.185,11.3,20.1,7.0,-2.1,90.1,10.6,43.5,29.9,18.7,,,,,,,,55
DEMO-10034-2021-42,10034,Demo Hitter 034,2021,33.0,33.0,Hitter,1B,Extension,1,15.17,15.17,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,8.0,41,0,0,0.63,115.8,98.2,0.332,0.411,0.175,6.6,27.5,3.3,-3.5,88.2,11.1,32.8,31.0,25.9,,,,,,,,60
DEMO-10035-2021-43,10035,Demo Hitter 035,2021,30.0,30.0,Hitter,1B,Free Agent,6,34.45,183.2,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,5.0,47,0,0,2.48,129.2,131.1,0.344,0.47,0.2,11.4,17.2,4.5,1.2,88.3,13.0,35.8,27.9,23.9,,,,,,,,50
DEMO-10036-2020-44,10036,Demo Hitter 036,2020,23.0,23.0,Hitter,LF,Free Agent,12,61.66,676.95,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,2.0,17,0,0,5.26,153.7,156.9,0.351,0.52,0.225,9.8,21.3,2.2,0.0,91.5,14.5,52.2,28.1,17.0,,,,,,,,70
DEMO-10036-2022-45,10036,Demo Hitter 036,2022,25.0,25.0,Hitter,LF,Free Agent,7,47.8,289.8,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,4.0,0,0,0,4.92,153.9,149.7,0.357,0.456,0.228,10.9,21.3,4.7,5.0,91.5,14.4,48.4,27.1,23.5,,,,,,,,70
DEMO-10037-2015-46,10037,Demo Hitter 037,2015,28.0,28.0,Hitter,1B,Extension,7,36.48,259.49,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,2.0,0,0,0,3.82,153.7,146.4,0.382,0.465,0.218,14.2,23.0,1.6,0.0,89.8,13.0,45.1,33.5,22.2,,,,,,,,55
DEMO-10038-2012-47,10038,Demo Hitter 038,2012,27.0,27.0,Hitter,RF,Arbitration,1,9.19,9.23,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,2.0,120,0,0,2.51,143.6,131.1,0.338,0.421,0.212,8.9,21.3,2.0,-5.0,89.4,11.3,40.7,20.7,25.5,,,,,,,,50
DEMO-10039-2015-48,10039,Demo Hitter 039,2015,22.0,22.0,Hitter,1B,Free Agent,9,74.49,608.86,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,2.0,34,0,0,7.94,197.8,171.9,0.386,0.577,0.276,12.9,14.5,-0.3,-1.4,92.1,17.9,53.0,22.0,23.1,,,,,,,,75
DEMO-10040-2015-49,10040,Demo Hitter 040,2015,31.0,31.0,Hitter,C,Free Agent,6,43.36,250.21,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,6.0,38,0,0,4.48,153.8,150.8,0.358,0.482,0.246,9.8,17.7,-8.0,3.3,92.5,11.0,42.3,26.4,22.9,,,,,,,,60
DEMO-10041-2023-50,10041,Demo Hitter 041,2023,30.0,30.0,Hitter,1B,Extension,7,35.44,247.23,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,5.0,0,0,0,2.95,137.2,142.8,0.349,0.438,0.215,8.5,20.2,7.1,1.0,92.0,9.3,35.9,30.8,29.2,,,,,,,,50
DEMO-10042-2011-51,10042,Demo Hitter 042,2011,29.0,29.0,Hitter,CF,Free Agent,7,32.97,216.51,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,2.0,64,0,0,4.18,150.3,143.1,0.354,0.504,0.212,8.6,18.4,-1.7,2.6,90.1,12.8,42.7,24.5,26.8,,,,,,,,45
DEMO-10043-2015-52,10043,Demo Hitter 043,2015,28.0,28.0,Hitter,2B,Extension,5,55.96,270.88,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,2.0,0,0,0,6.03,156.9,167.0,0.381,0.518,0.246,11.8,12.8,-5.1,-4.0,90.4,11.3,44.8,27.7,29.0,,,,,,,,70
DEMO-10044-2023-53,10044,Demo Hitter 044,2023,24.0,24.0,Hitter,3B,Extension,10,50.44,447.37,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,2.0,0,0,0,3.41,141.6,131.3,0.353,0.416,0.203,12.0,23.7,2.0,-2.3,91.3,9.5,37.3,27.3,21.0,,,,,,,,60
DEMO-10045-2020-54,10045,Demo Hitter 045,2020,25.0,25.0,Hitter,LF,Free Agent,9,47.39,377.34,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,5.0,0,0,0,3.45,162.8,123.9,0.347,0.463,0.218,8.9,16.5,-4.7,-0.8,88.5,7.4,47.7,28.0,23.9,,,,,,,,55
DEMO-10045-2019-55,10045,Demo Hitter 045,2019,24.0,24.0,Hitter,LF,Free Agent,10,56.85,482.68,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,4.0,0,0,0,4.41,160.3,140.6,0.354,0.438,0.227,11.6,21.1,3.6,3.2,90.0,13.3,41.7,35.5,26.8,,,,,,,,55
DEMO-10046-2019-56,10046,Demo Hitter 046,2019,31.0,31.0,Hitter,2B,Extension,1,53.4,53.4,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,5.0,43,0,0,4.99,147.7,145.7,0.375,0.483,0.229,11.7,19.4,9.8,0.5,92.1,13.8,48.3,28.4,24.2,,,,,,,,60
DEMO-10047-2012-57,10047,Demo Hitter 047,2012,27.0,27.0,Hitter,3B,Extension,8,22.8,180.34,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,3.0,104,0,0,2.84,136.0,140.4,0.331,0.443,0.196,9.5,16.5,5.8,1.6,88.1,12.8,42.6,28.5,25.2,,,,,,,,55
DEMO-10048-2022-58,10048,Demo Hitter 048,2022,28.0,28.0,Hitter,2B,Extension,6,30.35,151.36,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,4.0,66,0,0,2.36,117.4,116.0,0.321,0.454,0.204,8.4,22.1,-1.2,-3.1,89.9,9.0,39.9,30.4,26.1,,,,,,,,55
DEMO-10049-2024-59,10049,Demo Hitter 049,2024,30.0,30.0,Hitter,DH,Free Agent,4,45.49,180.53,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,4.0,93,0,0,3.57,145.6,139.5,0.348,0.463,0.199,8.8,14.7,5.4,0.2,88.7,9.6,38.7,33.0,17.5,,,,,,,,55
DEMO-10050-2017-60,10050,Demo Hitter 050,2017,27.0,27.0,Hitter,SS,Free Agent,7,59.76,426.12,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,6.0,65,0,0,6.0,180.8,164.7,0.383,0.513,0.238,14.0,19.4,6.0,3.6,91.3,13.0,46.5,33.5,24.7,,,,,,,,65
DEMO-10051-2018-61,10051,Demo Hitter 051,2018,26.0,26.0,Hitter,SS,Free Agent,6,57.46,326.64,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,2.0,54,0,1,5.81,153.6,156.5,0.385,0.512,0.238,12.5,19.7,-6.1,4.6,91.2,16.6,43.5,29.4,23.7,,,,,,,,75
DEMO-10052-2011-62,10052,Demo Hitter 052,2011,25.0,25.0,Hitter,SS,Extension,8,32.65,226.08,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,3.0,23,0,0,3.86,126.9,139.1,0.353,0.459,0.253,11.0,20.9,2.3,4.9,89.2,9.2,39.4,29.5,27.5,,,,,,,,50
DEMO-10053-2021-63,10053,Demo Hitter 053,2021,23.0,23.0,Hitter,SS,Free Agent,11,43.73,512.2,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,2.0,93,0,0,4.13,141.6,133.5,0.37,0.505,0.216,10.8,14.8,-0.9,-3.7,89.4,13.7,43.4,28.2,27.8,,,,,,,,55
DEMO-10054-2023-64,10054,Demo Hitter 054,2023,25.0,25.0,Hitter,CF,Extension,6,31.07,166.98,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,2.0,0,0,0,2.18,127.3,115.6,0.314,0.413,0.192,8.6,19.2,-3.7,-0.1,88.9,8.5,39.9,29.0,27.2,,,,,,,,55
DEMO-10054-2024-65,10054,Demo Hitter 054,2024,26.0,26.0,Hitter,CF,Extension,7,28.4,183.18,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,3.0,2,0,0,2.52,123.0,118.2,0.341,0.453,0.2,9.5,19.4,-1.8,-3.2,87.5,6.6,46.5,29.7,21.6,,,,,,,,55
DEMO-10055-2012-66,10055,Demo Hitter 055,2012,29.0,29.0,Hitter,1B,Extension,9,39.03,299.5,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,2.0,92,0,0,4.22,151.5,145.4,0.375,0.482,0.256,10.6,17.4,1.1,2.2,89.3,7.4,46.2,26.9,23.9,,,,,,,,70
DEMO-10056-2013-67,10056,Demo Hitter 056,2013,26.0,26.0,Hitter,RF,Extension,10,42.55,406.33,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,3.0,10,0,0,4.36,155.2,140.3,0.366,0.493,0.207,14.4,21.3,-8.3,-3.2,89.2,12.9,54.3,24.3,24.8,,,,,,,,50
DEMO-10057-2013-68,10057,Demo Hitter 057,2013,29.0,29.0,Hitter,3B,Free Agent,7,15.55,106.31,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,2.0,68,0,0,1.5,116.1,114.8,0.327,0.437,0.177,10.2,19.8,0.3,2.7,87.0,7.2,40.7,31.9,25.8,,,,,,,,45
DEMO-10058-2016-69,10058,Demo Hitter 058,2016,29.0,29.0,Hitter,1B,Free Agent,7,64.4,434.89,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,2.0,31,0,0,7.19,184.8,176.9,0.37,0.545,0.283,12.7,17.3,7.9,-1.9,91.3,18.0,47.9,27.4,21.5,,,,,,,,65
DEMO-10059-2011-70,10059,Demo Hitter 059,2011,29.0,29.0,Hitter,RF,Free Agent,9,26.12,221.0,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,3.0,23,0,0,3.28,126.4,128.9,0.31,0.438,0.173,10.0,25.9,7.0,1.6,89.3,12.5,41.0,25.6,24.8,,,,,,,,55
DEMO-10060-2015-71,10060,Demo Hitter 060,2015,29.0,29.0,Hitter,C,Extension,7,13.31,87.76,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,5.0,78,0,0,1.04,121.7,123.1,0.323,0.402,0.143,10.6,26.7,1.3,-1.3,87.6,7.1,42.4,29.2,24.1,,,,,,,,55
DEMO-10061-2022-72,10061,Demo Hitter 061,2022,25.0,25.0,Hitter,1B,Extension,7,48.27,303.95,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,2.0,63,0,0,4.01,139.7,153.1,0.342,0.499,0.215,11.3,20.3,2.8,2.9,91.2,11.7,40.9,28.1,23.2,,,,,,,,60
DEMO-10061-2023-73,10061,Demo Hitter 061,2023,26.0,26.0,Hitter,1B,Extension,4,43.1,170.72,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,3.0,74,0,0,3.83,144.6,145.2,0.354,0.459,0.236,10.2,18.4,-7.2,-0.4,92.5,16.0,48.0,28.5,20.9,,,,,,,,60
DEMO-10062-2025-74,10062,Demo Hitter 062,2025,30.0,30.0,Hitter,C,Extension,6,38.1,201.25,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,7.0,99,0,0,2.94,130.1,124.9,0.362,0.445,0.18,7.4,18.5,2.3,2.2,90.2,12.7,36.9,28.5,26.5,,,,,,,,55
DEMO-10062-2023-75,10062,Demo Hitter 062,2023,28.0,28.0,Hitter,C,Extension,8,45.99,351.05,DEMO,SYNTHETIC DEMO DATA - REPLACE BEFORE REAL USE,,5.0,0,0,0,3.7,155.0,142.8,0.365,0.457,0.187,8.7,22.1,-1.3,2.4,90.3,10.1,47.5,34.1,21.9,,,,,,,,55
